run_name,run_id,state,created_at,bits,granularity,symmetry,calibration,seed,fp32_val_bpb,final_val_bpb,final_val_loss,quant_file_bytes,quant_file_MB,matrix_quant_bits_cfg,quant_granularity_cfg,quant_symmetry_cfg,quant_calibration_cfg,bits_order,gran_order,sym_order,cal_order,delta_bpb
quant_design_8_per_tensor_symmetric_uncalibrated_seed42,mf1vm6qu,finished,2026-05-06T15:27:29Z,8,per_tensor,symmetric,uncalibrated,42,1.307512702940691,1.3329141491221732,2.2505697072882773,13838987,13.838987,8,per_tensor,symmetric,uncalibrated,0,0,0,0,0.025401446181482212
quant_design_8_per_tensor_symmetric_uncalibrated_seed123,2vmyn7kb,finished,2026-05-06T16:11:56Z,8,per_tensor,symmetric,uncalibrated,123,1.3052800466686252,1.3267971809813135,2.240241462811818,13733199,13.733199,8,per_tensor,symmetric,uncalibrated,0,0,0,0,0.021517134312688313
quant_design_8_per_tensor_symmetric_uncalibrated_seed1337,l4ch7xbc,finished,2026-05-06T14:41:31Z,8,per_tensor,symmetric,uncalibrated,1337,1.3062819887358654,1.3281094659309187,2.2424572009798434,13839115,13.839115,8,per_tensor,symmetric,uncalibrated,0,0,0,0,0.02182747719505329
quant_design_8_per_tensor_symmetric_percentile_seed42,3hl8sp2f,finished,2026-05-06T17:41:57Z,8,per_tensor,symmetric,percentile,42,1.3079989288784473,1.332405854391627,2.249711472927351,14065571,14.065571,8,per_tensor,symmetric,percentile,0,0,0,1,0.0244069255131798
quant_design_8_per_tensor_symmetric_percentile_seed123,wxzvr3oe,finished,2026-05-06T18:26:25Z,8,per_tensor,symmetric,percentile,123,1.3052529564195294,1.3220168021936258,2.2321699934707357,14013615,14.013615,8,per_tensor,symmetric,percentile,0,0,0,1,0.016763845774096398
quant_design_8_per_tensor_symmetric_percentile_seed1337,qdd3wvrd,finished,2026-05-06T16:57:04Z,8,per_tensor,symmetric,percentile,1337,1.3063505370903024,1.3242092165018762,2.2358717931937138,13989952,13.989952,8,per_tensor,symmetric,percentile,0,0,0,1,0.01785867941157382
quant_design_8_per_tensor_asymmetric_uncalibrated_seed42,r9zmptuw,finished,2026-05-06T19:56:26Z,8,per_tensor,asymmetric,uncalibrated,42,1.3078685208547118,4.105208045497299,6.931471824645996,14116220,14.11622,8,per_tensor,asymmetric,uncalibrated,0,0,1,0,2.7973395246425867
quant_design_8_per_tensor_asymmetric_uncalibrated_seed123,7nr8azv1,finished,2026-05-06T20:40:47Z,8,per_tensor,asymmetric,uncalibrated,123,1.305364262203228,4.105208045497299,6.931471824645996,14058303,14.058303,8,per_tensor,asymmetric,uncalibrated,0,0,1,0,2.7998437832940706
quant_design_8_per_tensor_asymmetric_uncalibrated_seed1337,q89t3js7,finished,2026-05-06T19:11:36Z,8,per_tensor,asymmetric,uncalibrated,1337,1.3066854815574604,4.105208045497299,6.931471824645996,14036636,14.036636,8,per_tensor,asymmetric,uncalibrated,0,0,1,0,2.798522563939838
quant_design_8_per_tensor_asymmetric_percentile_seed42,wwxh0ize,finished,2026-05-06T22:10:44Z,8,per_tensor,asymmetric,percentile,42,1.3079982280761002,4.105208045497299,6.931471824645996,14151253,14.151253,8,per_tensor,asymmetric,percentile,0,0,1,1,2.7972098174211983
quant_design_8_per_tensor_asymmetric_percentile_seed123,kb5ka8tz,finished,2026-05-06T22:55:08Z,8,per_tensor,asymmetric,percentile,123,1.3049080345785344,4.105208045497299,6.931471824645996,14194068,14.194068,8,per_tensor,asymmetric,percentile,0,0,1,1,2.800300010918764
quant_design_8_per_tensor_asymmetric_percentile_seed1337,2rp6oi75,finished,2026-05-06T21:25:53Z,8,per_tensor,asymmetric,percentile,1337,1.3063314410982707,4.105208045497299,6.931471824645996,14157145,14.157145,8,per_tensor,asymmetric,percentile,0,0,1,1,2.7988766043990276
quant_design_8_per_channel_symmetric_uncalibrated_seed42,5h1f3jod,finished,2026-05-07T00:25:10Z,8,per_channel,symmetric,uncalibrated,42,1.3076178081296679,1.311363569742524,2.2141824567228214,15748569,15.748569,8,per_channel,symmetric,uncalibrated,0,1,0,0,0.0037457616128562243
quant_design_8_per_channel_symmetric_uncalibrated_seed123,7aqoefoh,finished,2026-05-07T01:09:38Z,8,per_channel,symmetric,uncalibrated,123,1.3050625414184969,1.309163499986935,2.210467731097686,15755124,15.755124,8,per_channel,symmetric,uncalibrated,0,1,0,0,0.004100958568438173
quant_design_8_per_channel_symmetric_uncalibrated_seed1337,ergd76qs,finished,2026-05-06T23:40:18Z,8,per_channel,symmetric,uncalibrated,1337,1.3061615409086165,1.3098555693574965,2.2116362612402716,15749714,15.749714,8,per_channel,symmetric,uncalibrated,0,1,0,0,0.0036940284488800046
quant_design_8_per_channel_symmetric_percentile_seed42,5wpsyve3,finished,2026-05-07T08:15:05Z,8,per_channel,symmetric,percentile,42,1.3077860595547426,1.3118462049798076,2.2149973661042064,15747249,15.747249,8,per_channel,symmetric,percentile,0,1,0,1,0.004060145425065054
quant_design_8_per_channel_symmetric_percentile_seed123,z6kvq9ar,finished,2026-05-07T09:00:42Z,8,per_channel,symmetric,percentile,123,1.3056322252409887,1.309563275394787,2.211142735127933,15754721,15.754721,8,per_channel,symmetric,percentile,0,1,0,1,0.003931050153798354
quant_design_8_per_channel_symmetric_percentile_seed1337,96ci4ycw,finished,2026-05-07T01:54:56Z,8,per_channel,symmetric,percentile,1337,1.3061316103351182,1.310129057664572,2.212098034790809,15748644,15.748644,8,per_channel,symmetric,percentile,0,1,0,1,0.003997447329453951
quant_design_8_per_channel_asymmetric_uncalibrated_seed42,6uxqwmo7,finished,2026-05-07T10:31:55Z,8,per_channel,asymmetric,uncalibrated,42,1.3075110241110846,10.301267391904789,17.393258488677386,16044808,16.044808,8,per_channel,asymmetric,uncalibrated,0,1,1,0,8.993756367793704
quant_design_8_per_channel_asymmetric_uncalibrated_seed123,38vu9cl2,finished,2026-05-07T11:17:33Z,8,per_channel,asymmetric,uncalibrated,123,1.3046442589909966,8.174856230574834,13.80290231451524,16052190,16.05219,8,per_channel,asymmetric,uncalibrated,0,1,1,0,6.870211971583838
quant_design_8_per_channel_asymmetric_uncalibrated_seed1337,kht5imlu,finished,2026-05-07T09:46:15Z,8,per_channel,asymmetric,uncalibrated,1337,1.306134199582975,4.105561057777332,6.93206787109375,16043144,16.043144,8,per_channel,asymmetric,uncalibrated,0,1,1,0,2.799426858194357
quant_design_8_per_channel_asymmetric_percentile_seed42,zttsddsw,finished,2026-05-07T12:48:48Z,8,per_channel,asymmetric,percentile,42,1.3080573491049454,20.97922402924918,35.42254098940834,16044967,16.044967,8,per_channel,asymmetric,percentile,0,1,1,1,19.671166680144236
quant_design_8_per_channel_asymmetric_percentile_seed123,ebco3a2m,finished,2026-05-07T13:34:29Z,8,per_channel,asymmetric,percentile,123,1.305348423641219,4.080366902570174,6.889528595366734,16051213,16.051213,8,per_channel,asymmetric,percentile,0,1,1,1,2.775018478928955
quant_design_8_per_channel_asymmetric_percentile_seed1337,h61d6nub,finished,2026-05-07T12:03:09Z,8,per_channel,asymmetric,percentile,1337,1.3060838675014719,20.978970079889713,35.422112206552384,16039917,16.039917,8,per_channel,asymmetric,percentile,0,1,1,1,19.672886212388242
quant_design_4_per_tensor_symmetric_uncalibrated_seed42,lr92zofh,finished,2026-05-07T15:06:00Z,4,per_tensor,symmetric,uncalibrated,42,1.3075906501783094,6.4666892032264185,10.918733841046178,5874799,5.874799,4,per_tensor,symmetric,uncalibrated,1,0,0,0,5.159098553048109
quant_design_4_per_tensor_symmetric_uncalibrated_seed123,ubw0b0lo,finished,2026-05-07T15:51:51Z,4,per_tensor,symmetric,uncalibrated,123,1.305374440967983,6.31952858702672,10.670259304900668,5554681,5.554681,4,per_tensor,symmetric,uncalibrated,1,0,0,0,5.014154146058736
quant_design_4_per_tensor_symmetric_uncalibrated_seed1337,xadrpjp4,finished,2026-05-07T14:20:07Z,4,per_tensor,symmetric,uncalibrated,1337,1.3062801271474513,7.0271987030718615,11.865130652746489,5917777,5.917777,4,per_tensor,symmetric,uncalibrated,1,0,0,0,5.72091857592441
quant_design_4_per_tensor_symmetric_percentile_seed42,ic0t8slv,finished,2026-05-07T17:23:40Z,4,per_tensor,symmetric,percentile,42,1.3076802754407615,6.934241990724545,11.708177137746471,6034433,6.034433,4,per_tensor,symmetric,percentile,1,0,0,1,5.626561715283784
quant_design_4_per_tensor_symmetric_percentile_seed123,o4e62sii,finished,2026-05-07T18:09:33Z,4,per_tensor,symmetric,percentile,123,1.3054807356838496,6.613768109472057,11.167070413356948,5997603,5.997603,4,per_tensor,symmetric,percentile,1,0,0,1,5.3082873737882075
quant_design_4_per_tensor_symmetric_percentile_seed1337,di7m2mmc,finished,2026-05-07T16:37:45Z,4,per_tensor,symmetric,percentile,1337,1.3059527235746575,6.181447055301924,10.43711442258364,5972021,5.972021,4,per_tensor,symmetric,percentile,1,0,0,1,4.875494331727267
quant_design_4_per_tensor_asymmetric_uncalibrated_seed42,c7mrxw0q,finished,2026-05-07T19:41:15Z,4,per_tensor,asymmetric,uncalibrated,42,1.3076152947717579,6.186364907525208,10.445418010062198,6189236,6.189236,4,per_tensor,asymmetric,uncalibrated,1,0,1,0,4.878749612753451
quant_design_4_per_tensor_asymmetric_uncalibrated_seed123,a4opy9qc,finished,2026-05-07T20:27:10Z,4,per_tensor,asymmetric,uncalibrated,123,1.3055581236037945,8.393619268334163,14.17227454016064,6152490,6.15249,4,per_tensor,asymmetric,uncalibrated,1,0,1,0,7.088061144730369
quant_design_4_per_tensor_asymmetric_uncalibrated_seed1337,mhsrfyl4,finished,2026-05-07T18:55:25Z,4,per_tensor,asymmetric,uncalibrated,1337,1.3069556614806337,6.165208256166802,10.409695890459638,6230985,6.230985,4,per_tensor,asymmetric,uncalibrated,1,0,1,0,4.858252594686169
quant_design_4_per_tensor_asymmetric_percentile_seed42,u71izizr,finished,2026-05-07T21:58:52Z,4,per_tensor,asymmetric,percentile,42,1.3076493623451704,7.223976770678771,12.197382177202504,6222763,6.222763,4,per_tensor,asymmetric,percentile,1,0,1,1,5.916327408333601
quant_design_4_per_tensor_asymmetric_percentile_seed123,7yzji9wa,finished,2026-05-07T22:44:41Z,4,per_tensor,asymmetric,percentile,123,1.3052832641860195,10.183750347039709,17.194835881011645,6273103,6.273103,4,per_tensor,asymmetric,percentile,1,0,1,1,8.878467082853689
quant_design_4_per_tensor_asymmetric_percentile_seed1337,jag5wj5k,finished,2026-05-07T21:13:01Z,4,per_tensor,asymmetric,percentile,1337,1.306470706368435,6.728589228826888,11.360941063726363,6282287,6.282287,4,per_tensor,asymmetric,percentile,1,0,1,1,5.422118522458453
quant_design_4_per_channel_symmetric_uncalibrated_seed42,ohd4yrec,finished,2026-05-08T00:16:20Z,4,per_channel,symmetric,uncalibrated,42,1.3079137403336398,2.5701607956556094,4.339608843804288,7814961,7.814961,4,per_channel,symmetric,uncalibrated,1,1,0,0,1.2622470553219696
quant_design_4_per_channel_symmetric_uncalibrated_seed123,oiwo29kf,finished,2026-05-08T01:01:58Z,4,per_channel,symmetric,uncalibrated,123,1.3051335155095687,2.544665517756326,4.296561135025136,7823574,7.823574,4,per_channel,symmetric,uncalibrated,1,1,0,0,1.2395320022467573
quant_design_4_per_channel_symmetric_uncalibrated_seed1337,ueniak4p,finished,2026-05-07T23:30:33Z,4,per_channel,symmetric,uncalibrated,1337,1.3067393881132738,2.60974867843672,4.4064513256111795,7813333,7.813333,4,per_channel,symmetric,uncalibrated,1,1,0,0,1.303009290323446
quant_design_4_per_channel_symmetric_percentile_seed42,gnsikaad,finished,2026-05-08T02:33:08Z,4,per_channel,symmetric,percentile,42,1.3080769606040128,2.626618602764362,4.434935486185993,7814663,7.814663,4,per_channel,symmetric,percentile,1,1,0,1,1.3185416421603493
quant_design_4_per_channel_symmetric_percentile_seed123,6x0lngm5,finished,2026-05-08T03:18:45Z,4,per_channel,symmetric,percentile,123,1.305101978639274,2.6379478118514452,4.454064381168251,7822381,7.822381,4,per_channel,symmetric,percentile,1,1,0,1,1.3328458332121713
quant_design_4_per_channel_symmetric_percentile_seed1337,fhaeinlm,finished,2026-05-08T01:47:37Z,4,per_channel,symmetric,percentile,1337,1.3065105650591105,2.575456460150517,4.34855035147757,7812420,7.81242,4,per_channel,symmetric,percentile,1,1,0,1,1.2689458950914068
quant_design_4_per_channel_asymmetric_uncalibrated_seed42,icf20n30,finished,2026-05-08T04:50:01Z,4,per_channel,asymmetric,uncalibrated,42,1.3077832078720266,4.321495391155229,7.296663947880717,8344952,8.344952,4,per_channel,asymmetric,uncalibrated,1,1,1,0,3.013712183283202
quant_design_4_per_channel_asymmetric_uncalibrated_seed123,9yncrn62,finished,2026-05-08T05:35:36Z,4,per_channel,asymmetric,uncalibrated,123,1.30523468708518,4.0694846558386555,6.871154377599355,8355133,8.355133,4,per_channel,asymmetric,uncalibrated,1,1,1,0,2.764249968753475
quant_design_4_per_channel_asymmetric_uncalibrated_seed1337,akfmvnt0,finished,2026-05-08T04:04:22Z,4,per_channel,asymmetric,uncalibrated,1337,1.3058612277341242,5.136058653550001,8.672019895765965,8343514,8.343514,4,per_channel,asymmetric,uncalibrated,1,1,1,0,3.830197425815877
quant_design_4_per_channel_asymmetric_percentile_seed42,lauoa3tq,finished,2026-05-08T07:06:53Z,4,per_channel,asymmetric,percentile,42,1.3081369664436138,4.325913098377775,7.304123061475752,8346749,8.346749,4,per_channel,asymmetric,percentile,1,1,1,1,3.0177761319341614
quant_design_4_per_channel_asymmetric_percentile_seed123,rwqjz35j,finished,2026-05-08T09:07:45Z,4,per_channel,asymmetric,percentile,123,1.305276086533878,3.969539319461553,6.7024008636666075,8346158,8.346158,4,per_channel,asymmetric,percentile,1,1,1,1,2.664263232927675
quant_design_4_per_channel_asymmetric_percentile_seed1337,tx3mcbm7,finished,2026-05-08T06:21:14Z,4,per_channel,asymmetric,percentile,1337,1.306529085022387,4.56806881522835,7.712992845887222,8347463,8.347463,4,per_channel,asymmetric,percentile,1,1,1,1,3.261539730205963
