summary,config,name,state,created_at,run_id
"{'_runtime': 2754, '_step': 5000, '_timestamp': 1778081246.598457, '_wandb': {'runtime': 2754}, 'final_val_bpb': 1.3281094659309187, 'final_val_loss': 2.2424572009798434, 'lr_scale': 0.0013333333333333333, 'quant_baseline_bytes': 67191072, 'quant_compression_ratio': 3.938450717104291, 'quant_file_bytes': 13839115, 'quant_int8_payload_bytes': 17060280, 'quant_num_float_tensors': 92, 'quant_param_count': 17059912, 'tokens_seen': 655360000, 'train_loss': 2.1278560161590576, 'val_bpb': 1.3062819887358654, 'val_loss': 2.205602420051856}","{'seed': 1337, 'beta1': 0.9, 'beta2': 0.95, 'seeds': [1337, 42, 123], 'run_id': 'quant_design_8_per_tensor_symmetric_uncalibrated_seed1337', 'head_lr': 0.008, 'adam_eps': 1e-08, 'embed_lr': 0.6, 'mlp_mult': 2, 'data_path': './data/datasets/fineweb10B_sp1024', 'matrix_lr': 0.04, 'model_dim': 512, 'num_heads': 8, 'rope_base': 10000, 'scalar_lr': 0.04, 'val_files': './data/datasets/fineweb10B_sp1024/fineweb_val_*.bin', 'iterations': 5000, 'num_layers': 9, 'vocab_size': 1024, 'base_run_id': 'quant_design_8_per_tensor_symmetric_uncalibrated', 'train_files': './data/datasets/fineweb10B_sp1024/fineweb_train_*.bin', 'num_kv_heads': 4, 'qk_gain_init': 1.5, 'warmup_steps': 20, 'logit_softcap': 30, 'muon_momentum': 0.95, 'tied_embed_lr': 0.05, 'train_seq_len': 1024, 'grad_clip_norm': 0, 'quant_symmetry': 'symmetric', 'tie_embeddings': True, 'tokenizer_path': './data/tokenizers/fineweb_1024_bpe.model', 'val_batch_size': 524288, 'val_loss_every': 500, 'warmdown_iters': 750, 'train_log_every': 200, 'matrix_quant_bits': 8, 'quant_calibration': 'uncalibrated', 'quant_granularity': 'per_tensor', 'muon_backend_steps': 5, 'train_batch_tokens': 131072, 'tied_embed_init_std': 0.005, 'max_wallclock_seconds': 0, 'muon_momentum_warmup_start': 0.85, 'muon_momentum_warmup_steps': 500}",quant_design_8_per_tensor_symmetric_uncalibrated_seed1337,finished,2026-05-06T14:41:31Z,l4ch7xbc
"{'_runtime': 2665, '_step': 5000, '_timestamp': 1778083914.5988655, '_wandb': {'runtime': 2665}, 'final_val_bpb': 1.3329141491221732, 'final_val_loss': 2.2505697072882773, 'lr_scale': 0.0013333333333333333, 'quant_baseline_bytes': 67191072, 'quant_compression_ratio': 3.938450717104291, 'quant_file_bytes': 13838987, 'quant_int8_payload_bytes': 17060280, 'quant_num_float_tensors': 92, 'quant_param_count': 17059912, 'tokens_seen': 655360000, 'train_loss': 2.128718376159668, 'val_bpb': 1.307512702940691, 'val_loss': 2.207680429434181}","{'seed': 42, 'beta1': 0.9, 'beta2': 0.95, 'seeds': [1337, 42, 123], 'run_id': 'quant_design_8_per_tensor_symmetric_uncalibrated_seed42', 'head_lr': 0.008, 'adam_eps': 1e-08, 'embed_lr': 0.6, 'mlp_mult': 2, 'data_path': './data/datasets/fineweb10B_sp1024', 'matrix_lr': 0.04, 'model_dim': 512, 'num_heads': 8, 'rope_base': 10000, 'scalar_lr': 0.04, 'val_files': './data/datasets/fineweb10B_sp1024/fineweb_val_*.bin', 'iterations': 5000, 'num_layers': 9, 'vocab_size': 1024, 'base_run_id': 'quant_design_8_per_tensor_symmetric_uncalibrated', 'train_files': './data/datasets/fineweb10B_sp1024/fineweb_train_*.bin', 'num_kv_heads': 4, 'qk_gain_init': 1.5, 'warmup_steps': 20, 'logit_softcap': 30, 'muon_momentum': 0.95, 'tied_embed_lr': 0.05, 'train_seq_len': 1024, 'grad_clip_norm': 0, 'quant_symmetry': 'symmetric', 'tie_embeddings': True, 'tokenizer_path': './data/tokenizers/fineweb_1024_bpe.model', 'val_batch_size': 524288, 'val_loss_every': 500, 'warmdown_iters': 750, 'train_log_every': 200, 'matrix_quant_bits': 8, 'quant_calibration': 'uncalibrated', 'quant_granularity': 'per_tensor', 'muon_backend_steps': 5, 'train_batch_tokens': 131072, 'tied_embed_init_std': 0.005, 'max_wallclock_seconds': 0, 'muon_momentum_warmup_start': 0.85, 'muon_momentum_warmup_steps': 500}",quant_design_8_per_tensor_symmetric_uncalibrated_seed42,finished,2026-05-06T15:27:29Z,mf1vm6qu
"{'_runtime': 2663, '_step': 5000, '_timestamp': 1778086581.1579397, '_wandb': {'runtime': 2663}, 'final_val_bpb': 1.3267971809813135, 'final_val_loss': 2.240241462811818, 'lr_scale': 0.0013333333333333333, 'quant_baseline_bytes': 67191072, 'quant_compression_ratio': 3.938450717104291, 'quant_file_bytes': 13733199, 'quant_int8_payload_bytes': 17060280, 'quant_num_float_tensors': 92, 'quant_param_count': 17059912, 'tokens_seen': 655360000, 'train_loss': 2.1250739097595215, 'val_bpb': 1.3052800466686252, 'val_loss': 2.203910682840968}","{'seed': 123, 'beta1': 0.9, 'beta2': 0.95, 'seeds': [1337, 42, 123], 'run_id': 'quant_design_8_per_tensor_symmetric_uncalibrated_seed123', 'head_lr': 0.008, 'adam_eps': 1e-08, 'embed_lr': 0.6, 'mlp_mult': 2, 'data_path': './data/datasets/fineweb10B_sp1024', 'matrix_lr': 0.04, 'model_dim': 512, 'num_heads': 8, 'rope_base': 10000, 'scalar_lr': 0.04, 'val_files': './data/datasets/fineweb10B_sp1024/fineweb_val_*.bin', 'iterations': 5000, 'num_layers': 9, 'vocab_size': 1024, 'base_run_id': 'quant_design_8_per_tensor_symmetric_uncalibrated', 'train_files': './data/datasets/fineweb10B_sp1024/fineweb_train_*.bin', 'num_kv_heads': 4, 'qk_gain_init': 1.5, 'warmup_steps': 20, 'logit_softcap': 30, 'muon_momentum': 0.95, 'tied_embed_lr': 0.05, 'train_seq_len': 1024, 'grad_clip_norm': 0, 'quant_symmetry': 'symmetric', 'tie_embeddings': True, 'tokenizer_path': './data/tokenizers/fineweb_1024_bpe.model', 'val_batch_size': 524288, 'val_loss_every': 500, 'warmdown_iters': 750, 'train_log_every': 200, 'matrix_quant_bits': 8, 'quant_calibration': 'uncalibrated', 'quant_granularity': 'per_tensor', 'muon_backend_steps': 5, 'train_batch_tokens': 131072, 'tied_embed_init_std': 0.005, 'max_wallclock_seconds': 0, 'muon_momentum_warmup_start': 0.85, 'muon_momentum_warmup_steps': 500}",quant_design_8_per_tensor_symmetric_uncalibrated_seed123,finished,2026-05-06T16:11:56Z,2vmyn7kb
"{'_runtime': 2690, '_step': 5000, '_timestamp': 1778089315.7339537, '_wandb': {'runtime': 2690}, 'final_val_bpb': 1.3242092165018762, 'final_val_loss': 2.2358717931937138, 'lr_scale': 0.0013333333333333333, 'quant_baseline_bytes': 67191072, 'quant_compression_ratio': 3.938450717104291, 'quant_file_bytes': 13989952, 'quant_int8_payload_bytes': 17060280, 'quant_num_float_tensors': 92, 'quant_param_count': 17059912, 'tokens_seen': 655360000, 'train_loss': 2.128446340560913, 'val_bpb': 1.3063505370903024, 'val_loss': 2.2057181610769487}","{'seed': 1337, 'beta1': 0.9, 'beta2': 0.95, 'seeds': [1337, 42, 123], 'run_id': 'quant_design_8_per_tensor_symmetric_percentile_seed1337', 'head_lr': 0.008, 'adam_eps': 1e-08, 'embed_lr': 0.6, 'mlp_mult': 2, 'data_path': './data/datasets/fineweb10B_sp1024', 'matrix_lr': 0.04, 'model_dim': 512, 'num_heads': 8, 'rope_base': 10000, 'scalar_lr': 0.04, 'val_files': './data/datasets/fineweb10B_sp1024/fineweb_val_*.bin', 'iterations': 5000, 'num_layers': 9, 'vocab_size': 1024, 'base_run_id': 'quant_design_8_per_tensor_symmetric_percentile', 'train_files': './data/datasets/fineweb10B_sp1024/fineweb_train_*.bin', 'num_kv_heads': 4, 'qk_gain_init': 1.5, 'warmup_steps': 20, 'logit_softcap': 30, 'muon_momentum': 0.95, 'tied_embed_lr': 0.05, 'train_seq_len': 1024, 'grad_clip_norm': 0, 'quant_symmetry': 'symmetric', 'tie_embeddings': True, 'tokenizer_path': './data/tokenizers/fineweb_1024_bpe.model', 'val_batch_size': 524288, 'val_loss_every': 500, 'warmdown_iters': 750, 'train_log_every': 200, 'matrix_quant_bits': 8, 'quant_calibration': 'percentile', 'quant_granularity': 'per_tensor', 'muon_backend_steps': 5, 'train_batch_tokens': 131072, 'tied_embed_init_std': 0.005, 'max_wallclock_seconds': 0, 'muon_momentum_warmup_start': 0.85, 'muon_momentum_warmup_steps': 500}",quant_design_8_per_tensor_symmetric_percentile_seed1337,finished,2026-05-06T16:57:04Z,qdd3wvrd
"{'_runtime': 2664, '_step': 5000, '_timestamp': 1778091982.1250565, '_wandb': {'runtime': 2664}, 'final_val_bpb': 1.332405854391627, 'final_val_loss': 2.249711472927351, 'lr_scale': 0.0013333333333333333, 'quant_baseline_bytes': 67191072, 'quant_compression_ratio': 3.938450717104291, 'quant_file_bytes': 14065571, 'quant_int8_payload_bytes': 17060280, 'quant_num_float_tensors': 92, 'quant_param_count': 17059912, 'tokens_seen': 655360000, 'train_loss': 2.1311044692993164, 'val_bpb': 1.3079989288784473, 'val_loss': 2.2085014015629056}","{'seed': 42, 'beta1': 0.9, 'beta2': 0.95, 'seeds': [1337, 42, 123], 'run_id': 'quant_design_8_per_tensor_symmetric_percentile_seed42', 'head_lr': 0.008, 'adam_eps': 1e-08, 'embed_lr': 0.6, 'mlp_mult': 2, 'data_path': './data/datasets/fineweb10B_sp1024', 'matrix_lr': 0.04, 'model_dim': 512, 'num_heads': 8, 'rope_base': 10000, 'scalar_lr': 0.04, 'val_files': './data/datasets/fineweb10B_sp1024/fineweb_val_*.bin', 'iterations': 5000, 'num_layers': 9, 'vocab_size': 1024, 'base_run_id': 'quant_design_8_per_tensor_symmetric_percentile', 'train_files': './data/datasets/fineweb10B_sp1024/fineweb_train_*.bin', 'num_kv_heads': 4, 'qk_gain_init': 1.5, 'warmup_steps': 20, 'logit_softcap': 30, 'muon_momentum': 0.95, 'tied_embed_lr': 0.05, 'train_seq_len': 1024, 'grad_clip_norm': 0, 'quant_symmetry': 'symmetric', 'tie_embeddings': True, 'tokenizer_path': './data/tokenizers/fineweb_1024_bpe.model', 'val_batch_size': 524288, 'val_loss_every': 500, 'warmdown_iters': 750, 'train_log_every': 200, 'matrix_quant_bits': 8, 'quant_calibration': 'percentile', 'quant_granularity': 'per_tensor', 'muon_backend_steps': 5, 'train_batch_tokens': 131072, 'tied_embed_init_std': 0.005, 'max_wallclock_seconds': 0, 'muon_momentum_warmup_start': 0.85, 'muon_momentum_warmup_steps': 500}",quant_design_8_per_tensor_symmetric_percentile_seed42,finished,2026-05-06T17:41:57Z,3hl8sp2f
"{'_runtime': 2662, '_step': 5000, '_timestamp': 1778094647.6107855, '_wandb': {'runtime': 2662}, 'final_val_bpb': 1.3220168021936258, 'final_val_loss': 2.2321699934707357, 'lr_scale': 0.0013333333333333333, 'quant_baseline_bytes': 67191072, 'quant_compression_ratio': 3.938450717104291, 'quant_file_bytes': 14013615, 'quant_int8_payload_bytes': 17060280, 'quant_num_float_tensors': 92, 'quant_param_count': 17059912, 'tokens_seen': 655360000, 'train_loss': 2.125436305999756, 'val_bpb': 1.3052529564195294, 'val_loss': 2.203864942090134}","{'seed': 123, 'beta1': 0.9, 'beta2': 0.95, 'seeds': [1337, 42, 123], 'run_id': 'quant_design_8_per_tensor_symmetric_percentile_seed123', 'head_lr': 0.008, 'adam_eps': 1e-08, 'embed_lr': 0.6, 'mlp_mult': 2, 'data_path': './data/datasets/fineweb10B_sp1024', 'matrix_lr': 0.04, 'model_dim': 512, 'num_heads': 8, 'rope_base': 10000, 'scalar_lr': 0.04, 'val_files': './data/datasets/fineweb10B_sp1024/fineweb_val_*.bin', 'iterations': 5000, 'num_layers': 9, 'vocab_size': 1024, 'base_run_id': 'quant_design_8_per_tensor_symmetric_percentile', 'train_files': './data/datasets/fineweb10B_sp1024/fineweb_train_*.bin', 'num_kv_heads': 4, 'qk_gain_init': 1.5, 'warmup_steps': 20, 'logit_softcap': 30, 'muon_momentum': 0.95, 'tied_embed_lr': 0.05, 'train_seq_len': 1024, 'grad_clip_norm': 0, 'quant_symmetry': 'symmetric', 'tie_embeddings': True, 'tokenizer_path': './data/tokenizers/fineweb_1024_bpe.model', 'val_batch_size': 524288, 'val_loss_every': 500, 'warmdown_iters': 750, 'train_log_every': 200, 'matrix_quant_bits': 8, 'quant_calibration': 'percentile', 'quant_granularity': 'per_tensor', 'muon_backend_steps': 5, 'train_batch_tokens': 131072, 'tied_embed_init_std': 0.005, 'max_wallclock_seconds': 0, 'muon_momentum_warmup_start': 0.85, 'muon_momentum_warmup_steps': 500}",quant_design_8_per_tensor_symmetric_percentile_seed123,finished,2026-05-06T18:26:25Z,wxzvr3oe
"{'_runtime': 2687, '_step': 5000, '_timestamp': 1778097384.550657, '_wandb': {'runtime': 2687}, 'final_val_bpb': 4.105208045497299, 'final_val_loss': 6.931471824645996, 'lr_scale': 0.0013333333333333333, 'quant_baseline_bytes': 67191072, 'quant_compression_ratio': 3.938450717104291, 'quant_file_bytes': 14036636, 'quant_int8_payload_bytes': 17060280, 'quant_num_float_tensors': 92, 'quant_param_count': 17059912, 'tokens_seen': 655360000, 'train_loss': 2.128312587738037, 'val_bpb': 1.3066854815574604, 'val_loss': 2.206283700779492}","{'seed': 1337, 'beta1': 0.9, 'beta2': 0.95, 'seeds': [1337, 42, 123], 'run_id': 'quant_design_8_per_tensor_asymmetric_uncalibrated_seed1337', 'head_lr': 0.008, 'adam_eps': 1e-08, 'embed_lr': 0.6, 'mlp_mult': 2, 'data_path': './data/datasets/fineweb10B_sp1024', 'matrix_lr': 0.04, 'model_dim': 512, 'num_heads': 8, 'rope_base': 10000, 'scalar_lr': 0.04, 'val_files': './data/datasets/fineweb10B_sp1024/fineweb_val_*.bin', 'iterations': 5000, 'num_layers': 9, 'vocab_size': 1024, 'base_run_id': 'quant_design_8_per_tensor_asymmetric_uncalibrated', 'train_files': './data/datasets/fineweb10B_sp1024/fineweb_train_*.bin', 'num_kv_heads': 4, 'qk_gain_init': 1.5, 'warmup_steps': 20, 'logit_softcap': 30, 'muon_momentum': 0.95, 'tied_embed_lr': 0.05, 'train_seq_len': 1024, 'grad_clip_norm': 0, 'quant_symmetry': 'asymmetric', 'tie_embeddings': True, 'tokenizer_path': './data/tokenizers/fineweb_1024_bpe.model', 'val_batch_size': 524288, 'val_loss_every': 500, 'warmdown_iters': 750, 'train_log_every': 200, 'matrix_quant_bits': 8, 'quant_calibration': 'uncalibrated', 'quant_granularity': 'per_tensor', 'muon_backend_steps': 5, 'train_batch_tokens': 131072, 'tied_embed_init_std': 0.005, 'max_wallclock_seconds': 0, 'muon_momentum_warmup_start': 0.85, 'muon_momentum_warmup_steps': 500}",quant_design_8_per_tensor_asymmetric_uncalibrated_seed1337,finished,2026-05-06T19:11:36Z,q89t3js7
"{'_runtime': 2658, '_step': 5000, '_timestamp': 1778100044.9718726, '_wandb': {'runtime': 2658}, 'final_val_bpb': 4.105208045497299, 'final_val_loss': 6.931471824645996, 'lr_scale': 0.0013333333333333333, 'quant_baseline_bytes': 67191072, 'quant_compression_ratio': 3.938450717104291, 'quant_file_bytes': 14116220, 'quant_int8_payload_bytes': 17060280, 'quant_num_float_tensors': 92, 'quant_param_count': 17059912, 'tokens_seen': 655360000, 'train_loss': 2.129671335220337, 'val_bpb': 1.3078685208547118, 'val_loss': 2.2082812130773983}","{'seed': 42, 'beta1': 0.9, 'beta2': 0.95, 'seeds': [1337, 42, 123], 'run_id': 'quant_design_8_per_tensor_asymmetric_uncalibrated_seed42', 'head_lr': 0.008, 'adam_eps': 1e-08, 'embed_lr': 0.6, 'mlp_mult': 2, 'data_path': './data/datasets/fineweb10B_sp1024', 'matrix_lr': 0.04, 'model_dim': 512, 'num_heads': 8, 'rope_base': 10000, 'scalar_lr': 0.04, 'val_files': './data/datasets/fineweb10B_sp1024/fineweb_val_*.bin', 'iterations': 5000, 'num_layers': 9, 'vocab_size': 1024, 'base_run_id': 'quant_design_8_per_tensor_asymmetric_uncalibrated', 'train_files': './data/datasets/fineweb10B_sp1024/fineweb_train_*.bin', 'num_kv_heads': 4, 'qk_gain_init': 1.5, 'warmup_steps': 20, 'logit_softcap': 30, 'muon_momentum': 0.95, 'tied_embed_lr': 0.05, 'train_seq_len': 1024, 'grad_clip_norm': 0, 'quant_symmetry': 'asymmetric', 'tie_embeddings': True, 'tokenizer_path': './data/tokenizers/fineweb_1024_bpe.model', 'val_batch_size': 524288, 'val_loss_every': 500, 'warmdown_iters': 750, 'train_log_every': 200, 'matrix_quant_bits': 8, 'quant_calibration': 'uncalibrated', 'quant_granularity': 'per_tensor', 'muon_backend_steps': 5, 'train_batch_tokens': 131072, 'tied_embed_init_std': 0.005, 'max_wallclock_seconds': 0, 'muon_momentum_warmup_start': 0.85, 'muon_momentum_warmup_steps': 500}",quant_design_8_per_tensor_asymmetric_uncalibrated_seed42,finished,2026-05-06T19:56:26Z,r9zmptuw
"{'_runtime': 2658, '_step': 5000, '_timestamp': 1778102706.3272853, '_wandb': {'runtime': 2658}, 'final_val_bpb': 4.105208045497299, 'final_val_loss': 6.931471824645996, 'lr_scale': 0.0013333333333333333, 'quant_baseline_bytes': 67191072, 'quant_compression_ratio': 3.938450717104291, 'quant_file_bytes': 14058303, 'quant_int8_payload_bytes': 17060280, 'quant_num_float_tensors': 92, 'quant_param_count': 17059912, 'tokens_seen': 655360000, 'train_loss': 2.1245007514953613, 'val_bpb': 1.305364262203228, 'val_loss': 2.2040528772434995}","{'seed': 123, 'beta1': 0.9, 'beta2': 0.95, 'seeds': [1337, 42, 123], 'run_id': 'quant_design_8_per_tensor_asymmetric_uncalibrated_seed123', 'head_lr': 0.008, 'adam_eps': 1e-08, 'embed_lr': 0.6, 'mlp_mult': 2, 'data_path': './data/datasets/fineweb10B_sp1024', 'matrix_lr': 0.04, 'model_dim': 512, 'num_heads': 8, 'rope_base': 10000, 'scalar_lr': 0.04, 'val_files': './data/datasets/fineweb10B_sp1024/fineweb_val_*.bin', 'iterations': 5000, 'num_layers': 9, 'vocab_size': 1024, 'base_run_id': 'quant_design_8_per_tensor_asymmetric_uncalibrated', 'train_files': './data/datasets/fineweb10B_sp1024/fineweb_train_*.bin', 'num_kv_heads': 4, 'qk_gain_init': 1.5, 'warmup_steps': 20, 'logit_softcap': 30, 'muon_momentum': 0.95, 'tied_embed_lr': 0.05, 'train_seq_len': 1024, 'grad_clip_norm': 0, 'quant_symmetry': 'asymmetric', 'tie_embeddings': True, 'tokenizer_path': './data/tokenizers/fineweb_1024_bpe.model', 'val_batch_size': 524288, 'val_loss_every': 500, 'warmdown_iters': 750, 'train_log_every': 200, 'matrix_quant_bits': 8, 'quant_calibration': 'uncalibrated', 'quant_granularity': 'per_tensor', 'muon_backend_steps': 5, 'train_batch_tokens': 131072, 'tied_embed_init_std': 0.005, 'max_wallclock_seconds': 0, 'muon_momentum_warmup_start': 0.85, 'muon_momentum_warmup_steps': 500}",quant_design_8_per_tensor_asymmetric_uncalibrated_seed123,finished,2026-05-06T20:40:47Z,7nr8azv1
"{'_runtime': 2687, '_step': 5000, '_timestamp': 1778105442.0485215, '_wandb': {'runtime': 2687}, 'final_val_bpb': 4.105208045497299, 'final_val_loss': 6.931471824645996, 'lr_scale': 0.0013333333333333333, 'quant_baseline_bytes': 67191072, 'quant_compression_ratio': 3.938450717104291, 'quant_file_bytes': 14157145, 'quant_int8_payload_bytes': 17060280, 'quant_num_float_tensors': 92, 'quant_param_count': 17059912, 'tokens_seen': 655360000, 'train_loss': 2.129586935043335, 'val_bpb': 1.3063314410982707, 'val_loss': 2.205685918294302}","{'seed': 1337, 'beta1': 0.9, 'beta2': 0.95, 'seeds': [1337, 42, 123], 'run_id': 'quant_design_8_per_tensor_asymmetric_percentile_seed1337', 'head_lr': 0.008, 'adam_eps': 1e-08, 'embed_lr': 0.6, 'mlp_mult': 2, 'data_path': './data/datasets/fineweb10B_sp1024', 'matrix_lr': 0.04, 'model_dim': 512, 'num_heads': 8, 'rope_base': 10000, 'scalar_lr': 0.04, 'val_files': './data/datasets/fineweb10B_sp1024/fineweb_val_*.bin', 'iterations': 5000, 'num_layers': 9, 'vocab_size': 1024, 'base_run_id': 'quant_design_8_per_tensor_asymmetric_percentile', 'train_files': './data/datasets/fineweb10B_sp1024/fineweb_train_*.bin', 'num_kv_heads': 4, 'qk_gain_init': 1.5, 'warmup_steps': 20, 'logit_softcap': 30, 'muon_momentum': 0.95, 'tied_embed_lr': 0.05, 'train_seq_len': 1024, 'grad_clip_norm': 0, 'quant_symmetry': 'asymmetric', 'tie_embeddings': True, 'tokenizer_path': './data/tokenizers/fineweb_1024_bpe.model', 'val_batch_size': 524288, 'val_loss_every': 500, 'warmdown_iters': 750, 'train_log_every': 200, 'matrix_quant_bits': 8, 'quant_calibration': 'percentile', 'quant_granularity': 'per_tensor', 'muon_backend_steps': 5, 'train_batch_tokens': 131072, 'tied_embed_init_std': 0.005, 'max_wallclock_seconds': 0, 'muon_momentum_warmup_start': 0.85, 'muon_momentum_warmup_steps': 500}",quant_design_8_per_tensor_asymmetric_percentile_seed1337,finished,2026-05-06T21:25:53Z,2rp6oi75
"{'_runtime': 2661, '_step': 5000, '_timestamp': 1778108106.0340283, '_wandb': {'runtime': 2661}, 'final_val_bpb': 4.105208045497299, 'final_val_loss': 6.931471824645996, 'lr_scale': 0.0013333333333333333, 'quant_baseline_bytes': 67191072, 'quant_compression_ratio': 3.938450717104291, 'quant_file_bytes': 14151253, 'quant_int8_payload_bytes': 17060280, 'quant_num_float_tensors': 92, 'quant_param_count': 17059912, 'tokens_seen': 655360000, 'train_loss': 2.1309120655059814, 'val_bpb': 1.3079982280761002, 'val_loss': 2.208500218287498}","{'seed': 42, 'beta1': 0.9, 'beta2': 0.95, 'seeds': [1337, 42, 123], 'run_id': 'quant_design_8_per_tensor_asymmetric_percentile_seed42', 'head_lr': 0.008, 'adam_eps': 1e-08, 'embed_lr': 0.6, 'mlp_mult': 2, 'data_path': './data/datasets/fineweb10B_sp1024', 'matrix_lr': 0.04, 'model_dim': 512, 'num_heads': 8, 'rope_base': 10000, 'scalar_lr': 0.04, 'val_files': './data/datasets/fineweb10B_sp1024/fineweb_val_*.bin', 'iterations': 5000, 'num_layers': 9, 'vocab_size': 1024, 'base_run_id': 'quant_design_8_per_tensor_asymmetric_percentile', 'train_files': './data/datasets/fineweb10B_sp1024/fineweb_train_*.bin', 'num_kv_heads': 4, 'qk_gain_init': 1.5, 'warmup_steps': 20, 'logit_softcap': 30, 'muon_momentum': 0.95, 'tied_embed_lr': 0.05, 'train_seq_len': 1024, 'grad_clip_norm': 0, 'quant_symmetry': 'asymmetric', 'tie_embeddings': True, 'tokenizer_path': './data/tokenizers/fineweb_1024_bpe.model', 'val_batch_size': 524288, 'val_loss_every': 500, 'warmdown_iters': 750, 'train_log_every': 200, 'matrix_quant_bits': 8, 'quant_calibration': 'percentile', 'quant_granularity': 'per_tensor', 'muon_backend_steps': 5, 'train_batch_tokens': 131072, 'tied_embed_init_std': 0.005, 'max_wallclock_seconds': 0, 'muon_momentum_warmup_start': 0.85, 'muon_momentum_warmup_steps': 500}",quant_design_8_per_tensor_asymmetric_percentile_seed42,finished,2026-05-06T22:10:44Z,wwxh0ize
